Hour,Generation Schedule
0,2190.51563
1,1971.7085
2,1704.42236
3,1718.17432
4,1590.2998
5,1399.6499
6,1291.46973
7,1262.00537
8,496.682617
9,62.0605469
10,342.409668
11,487.9912
12,824.1958
13,1149.24609
14,1269.43066
15,1873.90771
16,3560.26367
17,4667.238
18,4611.923
19,4386.68555
20,4013.0083
21,3544.92041
22,2948.77783
23,2153.17969
24,1584.061
25,1222.98535
26,1162.9751
27,1211.0498
28,1560.51855
29,2108.432
30,2661.0083
31,3051.91528
32,2626.36279
33,2468.034
34,2466.72241
35,2363.27124
36,2311.77856
37,2343.26025
38,2379.7085
39,2557.92261
40,3733.03369
41,4940.70654
42,4942.83643
43,4500.78
44,3809.45264
45,2889.38232
46,2143.7417
47,882.937
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,664.4595
56,954.106934
57,898.747559
58,1012.91064
59,1234.70264
60,1206.875
61,0
62,0
63,0
64,925.9491
65,2378.50366
66,3144.36133
67,3006.56738
68,2266.48486
69,1306.19531
70,0
71,0
72,1501.99121
73,1036.353
74,843.715332
75,692.8779
76,874.0547
77,1522.40332
78,2408.62085
79,2820.08374
80,1991.55908
81,1577.18848
82,1606.41943
83,1707.93213
84,1566.87646
85,1738.01709
86,1788.64844
87,2180.21582
88,3387.81738
89,4757.123
90,5208.488
91,5060.987
92,4743.00439
93,4145.21533
94,3428.357
95,2571.48
96,2186.83545
97,2093.47314
98,2073.60376
99,2351.13354
100,2460.39185
101,3002.75415
102,4013.376
103,4724.94971
104,4390.64648
105,3935.34961
106,3751.03467
107,3805.30176
108,3847.70361
109,3758.15918
110,3993.125
111,3866.94434
112,4699.04443
113,5543
114,5543
115,5543
116,5543
117,4972.627
118,4220.32764
119,3301.36816
120,2706.852
121,2237.10034
122,2178.85352
123,1969.9812
124,1848.91455
125,2480.97949
126,3349.34082
127,3827.69531
128,3785.86963
129,4030.14551
130,3943.93359
131,3654.91357
132,3377.80176
133,3576.74072
134,3427.83984
135,3415.689
136,4297.155
137,5154.411
138,5024.03
139,4269.405
140,3447.019
141,3048.938
142,2892.34131
143,2460.97852
144,2512.10767
145,2335.337
146,2307.205
147,2364.29248
148,2214.4248
149,2289.8833
150,2151.6748
151,2222.17334
152,1663.051
153,1688.21777
154,1927.33252
155,1534.30566
156,1046.582
157,750.0928
158,764.4033
159,989.4883
160,2169.34253
161,3709.4
162,4118.35
163,3912.356
164,3608.29932
165,3194.61816
166,2748.62549
167,2289.607
